"Ref","Qnty","Value","Cmp name","Manufacturer","Partnum"
"C1, C2, C3, ","3","1uF","C","Kemet","C0805C105K3PACTU"
"C4, C17, C18, C19, C20, C21, C22, C23, C24, ","9","100n","C","Kemet","C0805C104Z3VACTU"
"C5, C7, C8, C9, C13, C14, C15, C16, ","8","10u 25v","C","Multicomp","MC1206X106K250CT"
"C6, C10, C11, C12, C25, C26, C27, C28, ","8","22u 16v","C","Kemet","C1206C226M4PACTU"
"C29, ","1","100uf 25v","CP","Panasonic","EEEFKE101XAP"
"D1, D2, D3, D4, ","4","LED","LED","Kingbright","KPT-2012EC "
"H1, H2, H3, H4, ","4","MountingHole_Pad","MountingHole_Pad","",""
"J1, ","1","Conn_01x03_Male","Conn_01x03_Male","",""
"J2, ","1","USB_C_Receptacle_16pin","USB_C_Receptacle_16pin","",""
"J3, J4, J5, J6, J7, J8, J9, J10, ","8","Conn_01x02_Male","Conn_01x02_Male","Molex","22-23-2021"
"JP1, ","1","SolderJumper_2_Open","SolderJumper_2_Open","",""
"L1, L2, L3, L4, ","4","6.8uH","L","Vishay","IFSC1515AHER6R8M01"
"Q1, ","1","Q_PMOS_DSG","Q_PMOS_DSG","ST","STL6P3LLH6"
"R1, R3, R10, ","3","100k","R","Multicomp","MCWR08X1003FTL"
"R2, R6, ","2","1k","R","Multicomp","MCMR08X1001FTL "
"R4, ","1","22k","R","Multicomp","MCWR08X2202FTL "
"R5, R18, ","2","100r","R","Multicomp","MCWR08X1000FTL "
"R7, ","1","140k","R","Multicomp","MCWR08X1403FTL "
"R8, R11, R13, R15, ","4","10k","R","Multicomp","MCMR08X1002FTL"
"R9, ","1","660r","R","Multicomp","MCMR08X6650FTL "
"R12, ","1","51k","R","Multicomp","MCWR08X5102FTL "
"R14, ","1","27.4k","R","Multicomp","MCMR08X2742FTL"
"R16, ","1","470r","R","Multicomp","MCWR08X4700FTL "
"R17, ","1","200r","R","Multicomp","MCWR08X2000FTL "
"R19, R20, R21, R22, ","4","30R","R","Multicomp","MCWR08X30R0FTL "
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, ","11","TestPoint","TestPoint","",""
"U1, ","1","STUSB4500QTR","STUSB4500QTR","ST","STUSB4500QTR "
"U2, U3, U4, U5, ","4","TPS56339","TPS562200","Texas Instruments","TPS56339DDCR"
